timestamp,open,high,low,close,volume
2025-01-03,5.6496,5.8412,5.5911,5.8032,8357362.5
2025-01-04,5.8032,5.825,5.6811,5.7271,6766747.9
2025-01-05,5.7271,5.7532,5.6301,5.7264,6394830.4
2025-01-06,5.7259,5.8065,5.6329,5.7098,8868390.7
2025-01-07,5.71,5.7631,5.3,5.3147,14801966.4
2025-01-08,5.3147,5.3591,5.0964,5.3071,17658512.8
2025-01-09,5.307,5.3469,5.0879,5.1978,10446605.6
2025-01-10,5.198,5.3875,5.1262,5.3799,9711534.1
2025-01-11,5.38,5.4759,5.3242,5.3978,9031126.4
2025-01-12,5.3979,5.435,5.2702,5.306,8747100.5
2025-01-13,5.306,5.3686,4.9932,5.2946,22428548.1
2025-01-14,5.2952,5.4377,5.2112,5.3597,13235225.3
2025-01-15,5.3597,5.5223,5.301,5.5131,13997662.7
2025-01-16,5.5132,5.5889,5.4152,5.4739,12242812.6
2025-01-17,5.474,5.6297,5.4699,5.5824,11452189.2
2025-01-18,5.5825,5.6574,5.1672,5.289,15145562.8
2025-01-19,5.289,5.359,4.77,4.8636,25189211.5
2025-01-20,4.8636,5.3467,4.7175,5.0298,30863209.1
2025-01-21,5.0298,5.2641,4.9197,5.2033,19481704.0
2025-01-22,5.2034,5.3631,5.1581,5.2967,11873703.2
2025-01-23,5.2967,5.3225,5.0362,5.1251,15089139.0
2025-01-24,5.1245,5.183,5.0156,5.0655,9363098.9
2025-01-25,5.0655,5.1094,5.0117,5.079,6108253.6
2025-01-26,5.0778,5.1175,4.9235,4.9276,5496582.3
2025-01-27,4.9266,5.0211,4.664,5.0098,21125293.3
2025-01-28,5.0104,5.0346,4.7499,4.7817,9209935.8
2025-01-29,4.7822,4.9025,4.7554,4.8215,9920442.1
2025-01-30,4.8215,4.9374,4.7804,4.8191,13070550.0
2025-01-31,4.8192,4.9465,4.7802,4.8285,11594418.8
2025-02-01,4.8285,4.9111,4.554,4.601,11997682.7
2025-02-02,4.6009,4.6815,3.88,4.0592,34249416.0
2025-02-03,4.0593,4.1396,2.959,4.0724,76986787.1
2025-02-04,4.0717,4.1141,3.6368,3.784,26701183.8
2025-02-05,3.7841,3.8988,3.7473,3.7803,12284340.5
2025-02-06,3.78,3.9128,3.6916,3.738,13617671.6
2025-02-07,3.7376,3.8613,3.6244,3.7142,15010523.4
2025-02-08,3.7141,3.8082,3.6616,3.7372,8122051.5
