timestamp,open,high,low,close,volume
2025-01-03,2.4026,2.4813,2.3963,2.4544,1053819704.6
2025-01-04,2.4544,2.5105,2.4008,2.4202,749351695.3
2025-01-05,2.4201,2.4284,2.3269,2.3988,718807267.3
2025-01-06,2.3988,2.4587,2.3657,2.4194,743390483.6
2025-01-07,2.4194,2.4693,2.2562,2.2698,1353095278.3
2025-01-08,2.2698,2.3981,2.1984,2.3722,1593054853.2
2025-01-09,2.3722,2.3953,2.2333,2.271,1120380451.6
2025-01-10,2.271,2.3692,2.2452,2.3411,909692219.9
2025-01-11,2.3411,2.6038,2.3241,2.5761,1317622672.9
2025-01-12,2.5761,2.5835,2.47,2.5031,1017442894.5
2025-01-13,2.5032,2.563,2.3307,2.5225,2020981682.1
2025-01-14,2.5224,2.7012,2.5111,2.6668,1235302219.6
2025-01-15,2.6668,3.1992,2.6489,3.1411,3228987039.9
2025-01-16,3.1411,3.4043,2.9211,3.2433,3757016808.8
2025-01-17,3.2432,3.352,3.1718,3.2911,1723232791.3
2025-01-18,3.2911,3.2973,3.0551,3.2695,1546799056.5
2025-01-19,3.2694,3.293,2.8301,2.9555,1822239477.9
2025-01-20,2.9552,3.3717,2.905,3.1042,2362755347.7
2025-01-21,3.1042,3.2394,3.0128,3.1735,1091017965.6
2025-01-22,3.1735,3.2866,3.1268,3.1788,953015704.2
2025-01-23,3.179,3.1837,3.0361,3.1186,925073175.2
2025-01-24,3.1186,3.2028,3.0523,3.0985,658627711.0
2025-01-25,3.0984,3.1435,3.0751,3.1069,334122226.5
2025-01-26,3.107,3.1451,3.0081,3.0198,391881949.1
2025-01-27,3.0199,3.0573,2.645,3.0533,1951675174.1
2025-01-28,3.0533,3.214,3.0048,3.0553,1142042771.2
2025-01-29,3.0553,3.1356,2.966,3.0671,861947599.0
2025-01-30,3.0671,3.1536,3.0459,3.127,502775157.0
2025-01-31,3.1269,3.1329,3.001,3.0347,518587331.0
2025-02-01,3.0347,3.0713,2.8267,2.8768,628492263.1
2025-02-02,2.8767,2.9533,2.4501,2.5784,2055817771.8
2025-02-03,2.5784,2.7793,1.7636,2.6989,4823663189.5
2025-02-04,2.6988,2.786,2.4203,2.5253,2113017624.2
2025-02-05,2.5254,2.5677,2.3418,2.3799,1225604300.1
2025-02-06,2.3798,2.4688,2.2739,2.3238,1161662578.7
2025-02-07,2.3237,2.5392,2.2634,2.3951,1527184635.3
2025-02-08,2.3951,2.4362,2.3494,2.4179,592690131.0
2025-02-09,2.4178,2.5066,2.3105,2.3909,718989172.0
2025-02-10,2.3909,2.472,2.3217,2.4226,750476978.9
2025-02-11,2.4225,2.5283,2.3702,2.4117,760680056.8
2025-02-12,2.4116,2.4958,2.3307,2.4723,761542707.7
2025-02-13,2.4724,2.6036,2.4128,2.558,720562152.2
2025-02-14,2.558,2.8352,2.5285,2.7372,1374825439.5
2025-02-15,2.7372,2.8328,2.7129,2.7601,726449235.6
2025-02-16,2.7602,2.8049,2.6855,2.7272,523139212.9
2025-02-17,2.7271,2.7638,2.6063,2.6586,713761624.8
2025-02-18,2.6585,2.6685,2.4683,2.5615,856360265.9
2025-02-19,2.5615,2.7449,2.511,2.7356,787603828.9
2025-02-20,2.7356,2.7469,2.6658,2.6867,664946626.4
2025-02-21,2.6867,2.7138,2.5054,2.5698,936337335.5
2025-02-22,2.5698,2.6084,2.5484,2.5726,311919553.7
2025-02-23,2.5725,2.6003,2.5181,2.5744,357747514.3
2025-02-24,2.5744,2.6136,2.231,2.2769,1157961553.8
2025-02-25,2.2769,2.3642,2.0631,2.3211,2406923808.4
2025-02-26,2.321,2.3297,2.1495,2.1971,1297907182.5
2025-02-27,2.1971,2.2563,2.1445,2.1973,838430171.0
2025-02-28,2.1973,2.2009,1.9511,2.1443,1578077244.0
2025-03-01,2.1444,2.2184,2.1206,2.1904,606926861.6
2025-03-02,2.1905,3.0065,2.1732,2.9384,2759991970.0
2025-03-03,2.9383,2.9676,2.294,2.386,2434972400.1
2025-03-04,2.386,2.5376,2.2115,2.4532,2053641805.5
2025-03-05,2.4532,2.5393,2.4069,2.498,1021535053.1
2025-03-06,2.4986,2.6444,2.4684,2.5981,1142418515.4
2025-03-07,2.5981,2.6198,2.3423,2.3836,1759362362.2
2025-03-08,2.3837,2.4096,2.3007,2.3245,559159301.0
2025-03-09,2.3244,2.35,2.0814,2.1376,1139010712.8
2025-03-10,2.1377,2.2599,1.9907,2.0202,1524325079.5
2025-03-11,2.0202,2.2125,1.8952,2.17,1546940843.6
2025-03-12,2.17,2.2773,2.132,2.2382,1238228996.9
2025-03-13,2.2381,2.3458,2.2113,2.2512,1023580908.6
2025-03-14,2.2512,2.3884,2.2356,2.3555,777911226.6
2025-03-15,2.3554,2.4744,2.3512,2.3899,640665391.7
2025-03-16,2.39,2.4094,2.2668,2.2928,757769714.3
2025-03-17,2.2928,2.3776,2.2905,2.3366,590340240.9
2025-03-18,2.3367,2.3385,2.2208,2.2836,667138610.5
2025-03-19,2.2836,2.588,2.2637,2.5457,1840144394.6
2025-03-20,2.5456,2.5627,2.3877,2.4346,919842020.3
2025-03-21,2.4345,2.4662,2.3552,2.3793,600762556.0
2025-03-22,2.3794,2.4154,2.3574,2.3698,325988754.1
2025-03-23,2.3698,2.44,2.3636,2.4378,336800314.9
2025-03-24,2.4379,2.5029,2.4121,2.4485,534931987.5
2025-03-25,2.4486,2.4777,2.4056,2.4481,461393261.5
2025-03-26,2.4481,2.48,2.3254,2.3473,571751499.7
2025-03-27,2.3474,2.3883,2.3005,2.34,500335755.6
2025-03-28,2.3399,2.3422,2.1522,2.2055,777260499.6
2025-03-29,2.2055,2.2238,2.0598,2.1335,851850119.0
